IE_XML_ID;IE_NAME;IP_PROP64
17825;Светильник SP-RONDO-FLAP-R110-25W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17825;Светильник SP-RONDO-FLAP-R110-25W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17826;Светильник SP-RONDO-FLAP-R175-16W Day4000 (WH, 110 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17826;Светильник SP-RONDO-FLAP-R175-16W Day4000 (WH, 110 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17826;Светильник SP-RONDO-FLAP-R175-16W Day4000 (WH, 110 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17827;Светильник SP-RONDO-FLAP-R175-16W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17827;Светильник SP-RONDO-FLAP-R175-16W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17827;Светильник SP-RONDO-FLAP-R175-16W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17828;Светильник SP-RONDO-FLAP-R210-20W Day4000 (WH, 110 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17828;Светильник SP-RONDO-FLAP-R210-20W Day4000 (WH, 110 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17828;Светильник SP-RONDO-FLAP-R210-20W Day4000 (WH, 110 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17829;Светильник SP-RONDO-FLAP-R210-20W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17829;Светильник SP-RONDO-FLAP-R210-20W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17829;Светильник SP-RONDO-FLAP-R210-20W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17830;Светильник SP-RONDO-FLAP-R250-30W Day4000 (WH, 110 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17830;Светильник SP-RONDO-FLAP-R250-30W Day4000 (WH, 110 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17830;Светильник SP-RONDO-FLAP-R250-30W Day4000 (WH, 110 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17831;Светильник SP-RONDO-FLAP-R250-30W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17831;Светильник SP-RONDO-FLAP-R250-30W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17831;Светильник SP-RONDO-FLAP-R250-30W Warm3000 (WH, 110 deg);/local/templates/universe_s1/Сертификат СанПин.jpg
17832;Светильник ALT-TOR-BB910SW-120W Day White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17832;Светильник ALT-TOR-BB910SW-120W Day White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17832;Светильник ALT-TOR-BB910SW-120W Day White;/local/templates/universe_s1/Сертификат СанПин.jpg
17833;Светильник ALT-TOR-BB910SW-120W Warm White;/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
17833;Светильник ALT-TOR-BB910SW-120W Warm White;/local/templates/universe_s1/Пожарный сертификат КЕО СВЕТ JPEG.jpg
17833;Светильник ALT-TOR-BB910SW-120W Warm White;/local/templates/universe_s1/Сертификат СанПин.jpg
17834;Светильник SP-TWIST-SURFACE-S60x60-12W (WH-BK / BK, 30 deg);/local/templates/universe_s1/Декларация о соответствии КЕО СВЕТ.png
